2cas;4cas;7cas;9cas;13cas;18cas;21cas;23cas;26cas;28cas;33cas;36cas;39cas;41cas;43cas;50cas;52cas;54cas;57cas;59cas;63cas;68cas;71cas;73cas;76cas;78cas;83cas;86cas;89cas;91cas;93cas;100cas
5391;5056;9584;12143;8024;7239;4775;7552;5408;5976;5592;5272;5272;5616;6159;6344;6376;6480;7376;7128;8247;4480;4584;3816;7160;7632;4688;4511;4464;5191;5888;4544
12928;17264;17296;8265;20592;10127;16135;1735;17642;3439;6184;1632;7232;2563;5622;5985;8961;2600;4047;11640;3504;3113;8233;9017;2429;3294;9340;2415;10024;5920;1921;3214
9480;16440;9336;93873;11080;31096;6272;6288;3240;2104;2272;3096;3336;3240;7448;2328;10464;3080;2488;6416;13184;12096;3592;4080;3320;3456;10680;6672;3984;2664;4145;1848
28039;25439;13103;10663;8416;12751;11367;10367;6656;7919;8608;9735;5791;5048;7136;2560;5872;4136;9575;4368;7752;6136;4135;3096;5391;3136;1784;1884;3823;5480;2048;2440
1488;1320;1752;1176;1440;2136;1344;2240;1216;1048;1248;1544;1184;976;1480;1152;2528;1120;1320;2351;1391;1888;992;1280;1760;3568;1160;1310;1424;936;1080;1352
15159;12167;28910;51989;9304;28246;5919;6767;12831;4576;4039;4296;5632;3831;5095;3552;7767;4199;3808;6624;6984;53904;5665;11704;3440;10120;4440;2416;4055;3000;4136;5904
4063;3223;8967;8127;13751;11106;2792;2543;7776;3567;2216;2456;2712;1952;6144;2688;4439;1654;2680;3152;6288;3496;3071;3328;1648;1224;2328;1592;1560;2632;4320;1864
64203;12512;6608;4944;20768;51837;5953;3958;4047;3298;3330;17697;3001;3766;8231;4608;6280;4030;3319;9265;15222;5053;2121;2326;12034;1871;164922;2722;1685;3108;1953;3216
4480;5792;3680;6104;3568;8264;3671;2528;3872;8271;4007;2480;1896;1824;2831;2544;2677;2176;2208;3912;4360;4544;1848;2216;1935;2376;2592;2343;2824;2424;2824;3016
17359;15071;8103;53477;13447;32455;10032;4560;10031;3296;6960;9592;10344;7184;13840;28215;18711;5247;5616;13680;5920;4864;2624;8063;5376;2223;4416;6376;2376;3752;3616;2303
919;832;856;2104;1224;856;7215;976;840;840;1063;776;976;848;792;809;1272;832;728;1248;872;928;1000;992;896;1984;704;912;920;824;992;816
31526;13951;14537;32853;9127;20007;18183;6312;12855;4856;13535;16031;3672;4288;10824;5640;5167;4872;5594;7456;5424;4952;13927;4808;8408;13949;3943;11245;5095;3399;7406;4846
3288;3224;1576;2128;3592;2328;1760;2776;1839;2247;1632;5800;2848;2080;7008;1856;1328;2048;1448;1168;5935;2080;1320;2864;1288;3280;2984;3024;2244;3223;2345;3896
16295;8151;11216;11512;8352;10719;9231;4000;4136;4722;4576;5447;5808;3743;7384;5712;10015;7007;4320;10103;9960;3520;9687;9239;10384;4944;7960;4352;4152;7672;2960;5680
12599;5640;6432;5928;9687;5920;8831;2984;3552;6559;5079;3376;6392;3536;3159;3480;9863;3399;3030;3111;3376;4104;3280;2031;4255;3168;2600;2768;2328;3735;2680;2256
3991;3416;2192;1960;7543;1888;7551;1688;15902;1736;2784;2928;1600;2376;2344;1512;4872;6808;2191;1624;4800;4887;2304;4199;2328;1831;1416;2456;2104;1800;1488;3023
8488;8095;15984;6568;6624;11600;4200;4112;3792;2728;3264;3296;2952;2512;3592;3032;8336;2392;2703;4057;9624;6544;2183;2240;6134;2263;2319;4544;2360;3384;2231;2695
1671;2440;1576;1496;1344;2408;1440;1676;1832;1360;1200;1120;1312;2768;2464;1135;1232;1752;1656;2616;1848;1456;1295;1767;2656;1440;1432;1399;1536;1736;1560;1464
7128;15264;19409;8160;8889;16361;7984;13681;3914;8729;10033;7096;27546;9585;5073;7944;10489;8033;6484;6916;9427;15863;7236;8971;7763;11034;16934;7548;5221;11649;5062;6085
17391;5391;12423;30022;3792;5592;22735;4480;6911;10016;5400;3936;4223;1568;5200;3623;2231;22359;4816;11568;16583;3560;5696;2632;3335;8704;2640;2288;6111;4584;1944;3807
11823;12432;8424;11440;14992;4760;6736;9104;3304;10295;6096;6944;4328;5831;8048;14040;4960;11175;9736;4624;5720;6680;5880;8279;5232;3184;8376;10831;5472;2947;5672;1887
13967;3280;1280;496;511;1016;480;872;400;1672;6096;3728;3560;19696;14000;9824;3688;4840;5136;3288;3224;9272;7640;3200;8296;5776;5008;27815;2600;3136;2112;4616
10951;6296;8895;8952;6479;7264;9327;9200;7719;8431;18830;7504;13494;6479;9137;5336;4719;8631;10783;4136;5128;20046;4079;3951;3880;4904;9416;1840;4207;4544;4056;4152
8582;16288;7638;7693;13510;10295;10961;6225;6813;6867;6755;7041;7011;6885;9196;6280;7849;4563;3833;10497;7141;4295;3707;196;188;6163;8231;1356;2650;5119;1850;19096
9368;10607;5752;4288;4472;9440;10736;5376;4000;3096;4200;5408;9016;2080;3631;2392;5224;7952;5063;6664;2104;6295;3984;2936;2025;3040;2128;4544;2496;1288;1176;3944
25068;12399;16389;8854;25004;23388;22910;18638;13047;8039;4496;3951;3432;13703;8775;6247;7679;13759;4663;10583;14223;30621;7279;7008;11504;13128;3504;3848;11215;7016;5976;9271
30603;8967;5503;22045;9486;5599;8616;4048;17271;15967;3152;13031;8592;10135;12447;5760;6455;3016;2808;7135;4032;8647;2048;2783;10775;5551;2271;15551;8456;3416;4144;2800
2096;1464;1984;2424;1904;3448;2056;4624;2568;3167;1319;1384;1519;1176;1672;1792;2072;1616;1256;2240;1760;10456;1248;1888;1375;1383;1944;1032;2017;1080;1080;1232
3033;1965;3399;1455;729;2757;1312;2523;1544;1931;8667;3792;3110;6283;2326;1657;2888;2976;4000;1801;3825;4965;4241;2582;5744;1696;1448;1708;1592;1671;1565;4423
33478;74707;22559;11599;21487;4848;3848;5520;7200;4820;33549;7416;5568;5744;5240;21967;12743;3623;20182;70891;15782;8888;22678;3264;5152;3039;2762;3799;2608;2887;2929;54956
6903;6753;4672;3832;2512;1824;1824;1832;2032;1544;1464;1232;5384;4263;2112;4655;1952;2696;7440;1775;1832;2864;2376;2256;1336;2120;1528;3430;1846;2504;1456;1672
7616;4295;8024;5375;5559;10536;9751;13592;25007;18463;3599;8224;7207;18935;6304;3536;4088;4688;8815;5448;3863;8728;4408;4664;3192;3776;2267;2523;1968;3184;4624;1880
11928;7512;11432;19135;8080;8632;7711;4504;7096;5423;7584;7120;2344;2976;3536;2176;7096;6383;5624;3528;17112;2959;1912;3792;7912;2672;1144;2584;1416;1616;1664;1984
15458;4291;4048;2721;16527;5555;7280;4035;7026;4216;3454;6130;5007;2521;3130;9003;3074;2935;7191;1218;6823;4177;2096;2516;1019;2814;1639;2840;2342;1361;255;165
17967;4192;3008;6952;7136;4088;4208;8232;4151;7463;7696;15023;4848;11848;9264;9064;4016;2415;1840;13768;5528;3488;5264;4320;6071;3376;3392;4136;5088;1980;2136;3176
2159;12791;9304;12856;11968;12912;17544;16584;14175;11487;14952;15608;27575;5999;7615;16815;10607;6879;13687;6959;8519;5951;8919;15231;4304;3936;5560;5055;17471;5728;4264;9295
8880;12080;7295;24654;23189;7047;33236;5279;7655;2831;4479;4503;4392;2320;3024;4168;3880;3872;2936;3488;6248;3295;5912;4120;4072;3472;4656;3240;5608;2176;5015;1584
34878;15504;18823;32207;10703;29463;4136;5600;13328;23591;5848;4640;6392;1680;4936;5991;19504;20015;3168;3328;24959;6240;25591;1912;6423;2312;6080;25256;3136;5552;1600;15303
52049;12088;13688;13368;22240;49432;4711;8248;3824;3183;1784;2616;3648;5944;1800;4064;1936;1608;3568;38560;4104;3296;2664;1656;3752;1312;2520;1296;1559;2872;1600;3120
5527;2104;1192;1928;2128;1520;1648;1472;3368;1472;1624;1168;1560;1128;1888;1808;2896;1904;1232;1408;2455;1208;3120;1920;1783;3784;1984;3096;1296;6887;1456;4184
11136;10816;7480;5727;9223;4783;6184;13768;6768;4344;6695;4856;6376;2160;1848;5600;4481;6144;4184;5826;7760;7048;3792;3855;3080;3311;8864;5218;3528;4559;3913;3128
26246;16927;6519;7880;7543;6983;10591;8608;5312;9432;5464;6320;16671;3679;4544;4143;5624;3296;10215;4295;3176;3735;2064;5895;2328;19663;4960;2224;2880;9575;2616;10648
12119;5351;16552;7680;6072;14703;5760;6231;12831;6424;4352;4232;4016;5144;4296;5191;6792;6264;6952;16872;5040;2800;2952;4440;4536;3617;2496;1967;3497;3032;4271;2136
8111;14511;17711;7271;14758;21607;14199;21526;4464;17416;6255;8064;15463;14103;5008;4591;6344;12295;4591;2560;8103;16119;3624;6320;3767;8679;14151;3120;10984;3431;4335;2824
1640;1207;2512;2032;1184;4527;2135;1392;1521;1784;1440;832;3440;2008;1944;2024;1193;2352;984;2984;1256;1288;1256;1608;3152;2032;1031;1985;833;688;1656;1968
1480;1727;2696;1592;1240;5056;1656;1904;3855;1816;1352;1336;1847;1304;2192;1232;1496;1368;1416;3248;2216;1840;1224;1344;5455;1144;1440;1160;1544;1232;1040;1608
3968;3320;6752;1688;17487;3128;2120;2536;2648;2912;3072;3153;3288;7136;2608;1696;7679;3040;7943;8624;4360;2456;2464;3784;4304;3663;2432;2600;3511;3384;2200;1936
3568;1768;1952;6319;3872;2104;2984;4560;2920;3536;2927;4616;4240;2183;4024;3552;2519;1752;2192;1096;5967;2864;2592;2191;2176;2560;3080;2393;3256;2312;1512;3296
52573;10559;13743;11904;9191;20663;10887;6192;9888;16383;14166;6095;10783;8839;7495;4936;5455;5695;15070;5376;33126;7407;9863;8311;6447;6474;9071;7343;6575;6152;4137;5597
34382;6392;12567;15048;20007;10784;18655;8607;14927;7311;11119;4304;4904;2152;12271;6255;10264;5367;4743;10632;5903;4832;47246;5192;2344;8672;4208;4367;2620;2056;4712;4400
1424;1216;1832;1648;1552;1136;1096;824;1640;1119;856;1664;832;2136;1159;920;1280;832;1904;1640;1776;1136;1384;1688;1008;848;1064;1344;1216;1336;840;887
3456;4160;11936;3840;7344;3431;4760;2696;2383;3480;2104;5647;4544;2160;1183;3840;6439;5560;5968;4456;3712;2448;2280;5352;1496;3336;3448;4904;7480;3992;1104;984
2647;3448;9568;6296;8640;3967;5176;5544;2816;2776;2240;2159;2488;2432;1952;2384;3791;3160;11160;4880;8279;3504;3344;6392;8960;7887;2736;5096;3800;3120;5128;2984
16743;23566;16255;13071;9736;12744;9582;16519;8080;3712;11248;10807;7145;11711;6728;5055;9848;6976;7722;9359;5152;8903;4880;3976;14584;5168;3255;6915;2360;2768;10591;8688
5912;6600;12911;9464;5791;4136;4192;3816;4976;2592;3584;5303;13336;6031;5976;7984;6024;3832;4488;4568;3200;3368;2184;4111;3192;2561;3528;2200;3944;6192;2880;4000
17902;18447;22030;9247;14007;9528;13423;5896;7800;8144;6192;8072;10135;8183;5784;4024;5824;4663;18623;4824;6776;11720;8079;6095;6775;7240;4352;13198;5800;5224;5039;3647
16135;4496;5960;7968;7815;5295;4832;7416;8279;7289;9175;7679;5143;10976;3384;3704;7032;6856;4216;3088;3256;3975;8519;3592;4648;4447;5128;3000;4920;5288;3144;2567
